rank,module,uri,name,action,status,avg_ms,min_ms,max_ms,runs_ms,bytes,app_ms,queries,query_ms,gzip_ms,gzip_raw_bytes,gzip_bytes,slowest_queries,final_url,error
1,masraf-takip,admin/masraf-takip/masraflar,filament.admin.masraf-takip.pages.masraflar,"App\Filament\Clusters\MasrafTakip\Pages\MasrafTakibiSayfasi",200,6218.56,6218.56,6218.56,6218.56,169701,1060.28,8,13.07,2.54,169701,25195,"6.8ms select * from `masraf_kategorileri` where `firma_id` = ? || 1.82ms select `id`, `ad`, `ust_kategori_id` from `masraf_kategorileri` where `firma_id` = ? and `aktif_mi` = ? order by `sira` asc, `ad` asc || 1.54ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.87ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.68ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/masraf-takip/masraflar,
2,teknik-servis,admin/teknik-servis/sablonlar/servis-formu,filament.admin.teknik-servis.pages.sablonlar.servis-formu,"App\Filament\Clusters\TeknikServis\Pages\ServisFormuSablonuSayfasi",200,4871.91,4871.91,4871.91,4871.91,135851,1171.98,5,11.91,2.21,135851,21592,"4.56ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 2.62ms select `id`, `firma_id`, `sablon_turu`, `ad`, `kod`, `sayfa_tipi`, `sablon_logo`, `varsayilan_mi`, `aktif` from `teknik_servis_baski_sablonlari` where `firma_id` = ? and `sablon_turu` = ? order by `varsayilan_mi` desc, `sayfa_tipi` asc, `ad` asc || 2.16ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 1.91ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.66ms select exists(select * from `teknik_servis_baski_sablonlari` where `firma_id` = ? and `sablon_turu` = ?) as `exists`",http://127.0.0.1:8000/admin/teknik-servis/sablonlar/servis-formu,
3,muhasebe,admin/muhasebe/finans/kasa-hesaplari/create,filament.admin.muhasebe.resources.finans.kasa-hesaplari.create,"App\Filament\Clusters\Muhasebe\Resources\KasaHesabiKaynagi\Pages\CreateKasaHesabi",200,4184.98,4184.98,4184.98,4184.98,174933,908.22,4,4.02,2.87,174933,25450,"1.33ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.14ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.98ms select * from `muhasebe_para_birimleri` where (`muhasebe_para_birimleri`.`firma_id` = ? or (`muhasebe_para_birimleri`.`firma_id` is null and `muhasebe_para_birimleri`.`is_sabit` = ?)) and `aktif_mi` = ? order by `kod` asc || 0.57ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/muhasebe/finans/kasa-hesaplari/create,
4,muhasebe,admin/muhasebe/finans/senet,filament.admin.muhasebe.pages.finans.senet,"App\Filament\Clusters\Muhasebe\Pages\SenetYonetimiSayfasi",200,3751.53,3751.53,3751.53,3751.53,212888,818.6,5,17.23,3.75,212888,27785,"12.58ms select COUNT(*) as toplam, SUM(CASE WHEN durum = ? THEN 1 ELSE 0 END) as portfoyde, SUM(CASE WHEN durum = ? THEN 1 ELSE 0 END) as verilen, SUM(CASE WHEN durum IN (?, ?) AND vade_tarihi < ? THEN 1 ELSE 0 END) as vadesi_gecen, SUM(CASE WHEN durum IN (?, ?) AND vade_tarihi = ? THEN 1 ELSE 0 END) as bugun from `senetler` where `firma_id` = ? limit 1 || 1.72ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.1ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 1.01ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.82ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/muhasebe/finans/senet,
5,muhasebe,admin/muhasebe/finans/tahsilat-olustur,filament.admin.muhasebe.pages.finans.tahsilat-olustur,"App\Filament\Clusters\Muhasebe\Pages\TahsilatOlusturSayfasi",200,3566.5,3566.5,3566.5,3566.5,209825,807.01,5,5.37,3.15,209825,28784,"1.86ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.23ms select `id`, `ad`, `para_birimi` from `kasa_hesaplari` where `firma_id` = ? and `durum` = ? and `kasa_hesaplari`.`deleted_at` is null order by `ad` asc || 0.93ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.77ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.58ms select `id`, `kod`, `ad` from `isletme_projeleri` where `firma_id` = ? and `durum` in (?, ?) and `isletme_projeleri`.`deleted_at` is null order by `ad` asc limit 100",http://127.0.0.1:8000/admin/muhasebe/finans/tahsilat-olustur,
6,products,admin/products,admin.legacy-web-products.products.index-redirect,"Illuminate\Routing\RedirectController",200,3556.03,3556.03,3556.03,3556.03,492098,1018.4,8,18.86,6.56,492098,37754,"11.97ms select `id`, `stok_karti_id`, `dosya_yolu`, `aktif_mi`, `kapak_mi`, `sira` from `stok_karti_gorselleri` where `stok_karti_gorselleri`.`stok_karti_id` in (142, 143, 144, 156, 157, 158, 159, 160, 161, 162) order by `kapak_mi` desc, `sira` asc, `id` asc || 1.32ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.24ms select `id`, `firma_id`, `ad`, `kod`, `tur`, `kategori_id`, `birim`, `satis_fiyati`, `para_birimi`, `kritik_seviye_miktar`, `stok_miktari`, `olculu_takip_turu`, `minimum_stok`, `durum`, `barkod`, `created_at`, `updated_at`, (select coalesce(sum(sob.ana_miktar), 0) from stok_olcu_bakiyeleri sob where sob.stok_id = stok_kartlari.id and sob.firma_id = stok_kartlari.firma_id) as `olcu_ana_toplami`, (select coalesce(sum(s || 1.09ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 1.02ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/web/urunler/urun-listesi,
7,muhasebe,admin/muhasebe/tanimlar/odeme-yontemleri/create,filament.admin.muhasebe.resources.tanimlar.odeme-yontemleri.create,"App\Filament\Clusters\Muhasebe\Resources\Tanimlar\OdemeYontemiTanimKaynagi\Pages\CreateOdemeYontemi",200,3504.59,3504.59,3504.59,3504.59,165111,857.12,4,2.58,2.54,165111,24913,"1.07ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.52ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.5ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.49ms select `ad`, `id` from `firmalar` where `firmalar`.`deleted_at` is null order by `ad` asc",http://127.0.0.1:8000/admin/muhasebe/tanimlar/odeme-yontemleri/create,
8,muhasebe,admin/muhasebe/finans/finans-fisleri,filament.admin.muhasebe.pages.finans.finans-fisleri,"App\Filament\Clusters\Muhasebe\Pages\FinansFisKaynagiSayfasi",200,3480.21,3480.21,3480.21,3480.21,182121,759.88,4,3.02,2.68,182121,25513,"1.12ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.7ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.64ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.56ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/muhasebe/finans/finans-hareketleri,
9,muhasebe,admin/muhasebe/finans/bankalar,filament.admin.muhasebe.pages.finans.bankalar,"App\Filament\Clusters\Muhasebe\Pages\Bankalar",200,3467.55,3467.55,3467.55,3467.55,328321,842.4,7,4.59,4.04,328321,32332,"1.68ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.64ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.57ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.51ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.49ms select `id`, `firma_id`, `ad`, `kod`, `banka_adi`, `hesap_sahibi_unvan`, `para_birimi`, `durum`, `created_at`, (select sum(`banka_hareketleri`.`tutar`) from `banka_hareketleri` where `banka_hesaplari`.`id` = `banka_hareketleri`.`banka_hesap_id` and `durum` = ?) as `aktif_bakiye` from `banka_hesaplari` where `banka_hesaplari`.`deleted_at` is null order by `created_at` desc limit 10 offset 0",http://127.0.0.1:8000/admin/muhasebe/finans/banka-hesaplari,
10,muhasebe,admin/muhasebe/stok/stok-listesi/create,filament.admin.muhasebe.resources.stok.stok-listesi.create,"App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\CreateStokKarti",200,3458.36,3458.36,3458.36,3458.36,373860,806.4,10,6.17,4.15,373860,36339,"1.13ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.83ms select `ad`, `id` from `firmalar` where `firmalar`.`deleted_at` is null order by `ad` asc || 0.75ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.71ms select `kod`, `oran` from `muhasebe_vergi_oranlari` where (`muhasebe_vergi_oranlari`.`firma_id` = ? or (`muhasebe_vergi_oranlari`.`firma_id` is null and `muhasebe_vergi_oranlari`.`is_sabit` = ?)) and `aktif_mi` = ? and `muhasebe_vergi_oranlari`.`deleted_at` is null order by `oran` asc || 0.54ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/muhasebe/stok/stok-listesi/create,
11,products,admin/products/create,admin.legacy-web-products.products.create-redirect,"Illuminate\Routing\RedirectController",200,3449.59,3449.59,3449.59,3449.59,373486,917.79,9,8.08,4.59,373486,36362,"2.69ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.9ms select `kod`, `ad` from `muhasebe_birimler` where (`muhasebe_birimler`.`firma_id` = ? or (`muhasebe_birimler`.`firma_id` is null and `muhasebe_birimler`.`is_sabit` = ?)) and `aktif_mi` = ? and `muhasebe_birimler`.`deleted_at` is null order by `kod` asc || 0.78ms select * from `stok_karti_gorselleri` where `stok_karti_gorselleri`.`stok_karti_id` is null and `stok_karti_gorselleri`.`stok_karti_id` is not null order by `kapak_mi` desc, `sira` asc, `id` asc, `sira` asc || 0.78ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.78ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/web/urunler/urun-listesi/create,
12,muhasebe,admin/muhasebe/finans/kasalar,filament.admin.muhasebe.pages.finans.kasalar,"App\Filament\Clusters\Muhasebe\Pages\Kasalar",200,3448.8,3448.8,3448.8,3448.8,309120,852.82,7,5.91,4.11,309120,31815,"1.14ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.07ms select `id`, `firma_id`, `ad`, `kod`, `para_birimi`, `durum`, `created_at`, (select sum(`kasa_hareketleri`.`tutar`) from `kasa_hareketleri` where `kasa_hesaplari`.`id` = `kasa_hareketleri`.`kasa_hesap_id` and `durum` = ?) as `aktif_bakiye` from `kasa_hesaplari` where `kasa_hesaplari`.`deleted_at` is null order by `created_at` desc limit 10 offset 0 || 1ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.85ms select count(*) as aggregate from `kasa_hesaplari` where `kasa_hesaplari`.`deleted_at` is null || 0.83ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/muhasebe/finans/kasa-hesaplari,
13,product-categories,admin/product-categories/create,admin.legacy-web-products.product-categories.create-redirect,"Illuminate\Routing\RedirectController",200,3446.12,3446.12,3446.12,3446.12,175060,779.81,4,3.9,2.65,175060,25455,"1.73ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.85ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.79ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.53ms select `ad`, `id` from `firmalar` where `firmalar`.`deleted_at` is null order by `ad` asc",http://127.0.0.1:8000/admin/web/urunler/urun-kategorileri/create,
14,muhasebe,admin/muhasebe/stok/depo-sayim-gecmisi,filament.admin.muhasebe.pages.stok.depo-sayim-gecmisi,"App\Filament\Clusters\Muhasebe\Pages\StokDepoSayimGecmisiSayfasi",200,3434.09,3434.09,3434.09,3434.09,185105,895.36,5,23.73,3.19,185105,25977,"20.58ms select count(*) as aggregate from `stok_hareketleri` where `belge_turu` = ? and `durum` = ? || 1.46ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.66ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.52ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.51ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/muhasebe/stok/depo-sayim-gecmisi,
15,muhasebe,admin/muhasebe/finans/transfer-olustur,filament.admin.muhasebe.pages.finans.transfer-olustur,"App\Filament\Clusters\Muhasebe\Pages\TransferOlusturSayfasi",200,3378.34,3378.34,3378.34,3378.34,187293,820.38,6,3.94,2.69,187293,25729,"1.36ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.59ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.53ms select `ad`, `id` from `kasa_hesaplari` where `firma_id` = ? and `durum` = ? and `kasa_hesaplari`.`deleted_at` is null order by `ad` asc || 0.52ms select `ad`, `id` from `banka_hesaplari` where `firma_id` = ? and `durum` = ? and `banka_hesaplari`.`deleted_at` is null order by `ad` asc || 0.49ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/muhasebe/finans/transfer-olustur,
16,muhasebe,admin/muhasebe,filament.admin.muhasebe,"App\Filament\Clusters\Muhasebe",200,3332.51,3332.51,3332.51,3332.51,144596,810.47,9,23.12,2.58,144596,22535,"6.88ms select `en_m`, `boy_m` from `stok_olculeri` where `stok_olculeri`.`stok_id` = ? and `stok_olculeri`.`stok_id` is not null and `aktif_mi` = ? and `takip_turu` = ? and `stok_olculeri`.`deleted_at` is null || 6.42ms select `ad`, `id` from `muhasebe_depolar` where `firma_id` = ? and `muhasebe_depolar`.`deleted_at` is null order by `ad` asc || 5.13ms select * from `stok_depo_bakiyeleri` where `firma_id` = ? order by `miktar` desc limit 500 || 1.55ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.37ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/muhasebe/stok/depo-stoklari,
