"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","bytes","final_url","error"
"1","restoran","admin/restoran","filament.admin.restoran","App\Filament\Clusters\Restoran","200","5418,35","5418,35","5418,35","166948","http://localhost/yalova-kamera/admin/restoran/qr-menu/receteler",
"2","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/create","filament.admin.teklif-yonetimi.resources.sablonlar.create","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\CreateTeklifSablonu","200","4884,08","4884,08","4884,08","231491","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/create",
"3","firma-ici-kullanicilar","admin/firma-ici-kullanicilar","filament.admin.resources.firma-ici-kullanicilar.index","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciListesi","200","4717,45","4717,45","4717,45","400081","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar",
"4","muhasebe","admin/muhasebe/satis/kasa-satis","filament.admin.muhasebe.pages.satis.kasa-satis","App\Filament\Clusters\Muhasebe\Pages\KasaSatis","200","4314,47","4314,47","4314,47","165097","http://localhost/yalova-kamera/admin/muhasebe/finans/finans-hareketleri",
"5","muhasebe","admin/muhasebe/finans/finans-fisleri","filament.admin.muhasebe.pages.finans.finans-fisleri","App\Filament\Clusters\Muhasebe\Pages\FinansFisKaynagiSayfasi","200","4202,97","4202,97","4202,97","165097","http://localhost/yalova-kamera/admin/muhasebe/finans/finans-hareketleri",
"6","products","admin/products","filament.admin.resources.products.index","App\Filament\Resources\ProductResource\Pages\ListProducts","200","4042,73","4042,73","4042,73","187276","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi",
"7","muhasebe","admin/muhasebe/stok/stok-listesi/create","filament.admin.muhasebe.resources.stok.stok-listesi.create","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\CreateStokKarti","200","4025,32","4025,32","4025,32","347314","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/create",
"8","product-categories","admin/product-categories","filament.admin.resources.product-categories.index","App\Filament\Resources\ProductCategoryResource\Pages\ListProductCategories","200","3960,97","3960,97","3960,97","503434","http://localhost/yalova-kamera/admin/web/urunler/urun-kategorileri",
"9","muhasebe","admin/muhasebe/finans/kasalar","filament.admin.muhasebe.pages.finans.kasalar","App\Filament\Clusters\Muhasebe\Pages\Kasalar","200","3938,31","3938,31","3938,31","267968","http://localhost/yalova-kamera/admin/muhasebe/finans/kasa-hesaplari",
"10","muhasebe","admin/muhasebe/finans/bankalar","filament.admin.muhasebe.pages.finans.bankalar","App\Filament\Clusters\Muhasebe\Pages\Bankalar","200","3909,28","3909,28","3909,28","288581","http://localhost/yalova-kamera/admin/muhasebe/finans/banka-hesaplari",
"11","muhasebe","admin/muhasebe/satis/pos-satis","filament.admin.muhasebe.pages.satis.pos-satis","App\Filament\Clusters\Muhasebe\Pages\PosSatis","200","3801,71","3801,71","3801,71","165097","http://localhost/yalova-kamera/admin/muhasebe/finans/finans-hareketleri",
"12","products","admin/products/create","filament.admin.resources.products.create","App\Filament\Resources\ProductResource\Pages\CreateProduct","200","3774,01","3774,01","3774,01","346965","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/create",
"13","product-categories","admin/product-categories/create","filament.admin.resources.product-categories.create","App\Filament\Resources\ProductCategoryResource\Pages\CreateProductCategory","200","3574,48","3574,48","3574,48","154950","http://localhost/yalova-kamera/admin/web/urunler/urun-kategorileri/create",
"14","muhasebe","admin/muhasebe/satis/banka-satis","filament.admin.muhasebe.pages.satis.banka-satis","App\Filament\Clusters\Muhasebe\Pages\BankaSatis","200","3513,01","3513,01","3513,01","165097","http://localhost/yalova-kamera/admin/muhasebe/finans/finans-hareketleri",
"15","muhasebe","admin/muhasebe/muhasebe-panel","filament.admin.muhasebe.pages.muhasebe-panel","App\Filament\Clusters\Muhasebe\Pages\MuhasebeDashboardSayfasi","200","3388,87","3388,87","3388,87","120318","http://localhost/yalova-kamera/admin/muhasebe/muhasebe-panel",
"16","teknik-servis","admin/teknik-servis/sablonlar/kabul-formu","filament.admin.teknik-servis.pages.sablonlar.kabul-formu","App\Filament\Clusters\TeknikServis\Pages\ServisKabulFormuSablonuSayfasi","200","3259,34","3259,34","3259,34","325893","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/kabul-formu",
"17","muhasebe","admin/muhasebe/satis/barkod-etiket-yazdirma","filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma","App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi","200","3256,33","3256,33","3256,33","229291","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-etiket-yazdirma",
"18","firma-ici-kullanicilar","admin/firma-ici-kullanicilar/create","filament.admin.resources.firma-ici-kullanicilar.create","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciOlustur","200","3198,83","3198,83","3198,83","166950","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar/create",
"19","muhasebe","admin/muhasebe/finans/vade-takibi","filament.admin.muhasebe.pages.finans.vade-takibi","App\Filament\Clusters\Muhasebe\Pages\VadeTakipSayfasi","200","3127,6","3127,6","3127,6","261976","http://localhost/yalova-kamera/admin/muhasebe/finans/vade-takibi",
"20","muhasebe","admin/muhasebe/fatura-kaynagis/create","filament.admin.muhasebe.resources.fatura-kaynagis.create","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateFatura","200","2935,84","2935,84","2935,84","287482","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create",
"21","muhasebe","admin/muhasebe/finans/odeme-olustur","filament.admin.muhasebe.pages.finans.odeme-olustur","App\Filament\Clusters\Muhasebe\Pages\OdemeOlusturSayfasi","200","2855,88","2855,88","2855,88","173977","http://localhost/yalova-kamera/admin/muhasebe/finans/odeme-olustur",
"22","profil","admin/profil","filament.admin.auth.profile","App\Filament\Pages\Auth\ProfilDuzenle","200","2839,08","2839,08","2839,08","232126","http://localhost/yalova-kamera/admin/profil",
"23","e-ticaret","admin/e-ticaret/bildirim-yonetimi/loglar","filament.admin.e-ticaret.pages.bildirim-yonetimi.loglar","App\Filament\Clusters\ETicaret\Pages\BildirimLoglariSayfasi","200","2811,88","2811,88","2811,88","155613","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/loglar",
"24","muhasebe","admin/muhasebe/fatura-kaynagis/create/iptal-fatura","filament.admin.muhasebe.resources.fatura-kaynagis.createIptal","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateIptalFatura","200","2748,42","2748,42","2748,42","287612","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/iptal-fatura",
"25","ayarlar","admin/ayarlar/mesaj-merkezi","filament.admin.ayarlar.pages.mesaj-merkezi","App\Filament\Clusters\Ayarlar\Pages\MesajMerkeziSayfasi","200","2744,75","2744,75","2744,75","117695","http://localhost/yalova-kamera/admin/ayarlar/mesaj-merkezi",
"26","personel-takip","admin/personel-takip/raporlar/personel-ozeti","filament.admin.personel-takip.pages.raporlar.personel-ozeti","App\Filament\Clusters\PersonelTakip\Pages\PersonelRaporlariSayfasi","200","2728,24","2728,24","2728,24","130840","http://localhost/yalova-kamera/admin/personel-takip/raporlar/personel-ozeti",
"27","web","admin/web/sayfalar/hakkimizda","filament.admin.web.pages.sayfalar.hakkimizda","App\Filament\Clusters\Web\Pages\Hakkimizda","200","2722,4","2722,4","2722,4","937397","http://localhost/yalova-kamera/admin/web/sayfalar/hakkimizda",
"28","e-ticaret","admin/e-ticaret/bildirim-yonetimi/sablonlar","filament.admin.e-ticaret.pages.bildirim-yonetimi.sablonlar","App\Filament\Clusters\ETicaret\Pages\BildirimSablonlariSayfasi","200","2716,07","2716,07","2716,07","138569","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/sablonlar",
"29","muhasebe","admin/muhasebe/cari-yonetimi/cari-ekstreleri","filament.admin.muhasebe.pages.cari-yonetimi.cari-ekstreleri","App\Filament\Clusters\Muhasebe\Pages\CariEkstreSayfasi","200","2673,39","2673,39","2673,39","148552","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cari-ekstreleri",
"30","muhasebe","admin/muhasebe/is-analitigi","filament.admin.muhasebe.pages.is-analitigi","App\Filament\Clusters\Muhasebe\Pages\IsAnalitigiSayfasi","200","2509,19","2509,19","2509,19","113709","http://localhost/yalova-kamera/admin/muhasebe/is-analitigi",
"31","teknik-servis","admin/teknik-servis/ozet","filament.admin.teknik-servis.pages.ozet","App\Filament\Clusters\TeknikServis\Pages\TeknikServisDashboardSayfasi","200","2486,92","2486,92","2486,92","143307","http://localhost/yalova-kamera/admin/teknik-servis/ozet",
"32","e-ticaret","admin/e-ticaret/kargo-yonetimi","filament.admin.e-ticaret.pages.kargo-yonetimi","App\Filament\Clusters\ETicaret\Pages\KargoYonetimiSayfasi","200","2446,83","2446,83","2446,83","171149","http://localhost/yalova-kamera/admin/e-ticaret/kargo-yonetimi",
"33","restoran","admin/restoran/raporlar/gun-sonu","filament.admin.restoran.pages.raporlar.gun-sonu","App\Filament\Clusters\Restoran\Pages\RestoranGunSonuMutabakatSayfasi","200","2436,95","2436,95","2436,95","128370","http://localhost/yalova-kamera/admin/restoran/raporlar/gun-sonu",
"34","muhasebe","admin/muhasebe/satis/barkod-esleme-listesi","filament.admin.muhasebe.pages.satis.barkod-esleme-listesi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisBarkodListesiSayfasi","200","2423,11","2423,11","2423,11","554373","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-esleme-listesi",
"35","teknik-servis","admin/teknik-servis/servis-kayitlari/liste/fiyat-verilen","filament.admin.teknik-servis.resources.servis-kayitlari.fiyat_verilen","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKayitlariFiyatVerilenSayfasi","200","2411,19","2411,19","2411,19","145957","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/liste/fiyat-verilen",
"36","muhasebe","admin/muhasebe/finans/finans-panel","filament.admin.muhasebe.pages.finans.finans-panel","App\Filament\Clusters\Muhasebe\Pages\FinansDashboardSayfasi","200","2389,19","2389,19","2389,19","121491","http://localhost/yalova-kamera/admin/muhasebe/finans/finans-panel",
"37","muhasebe","admin/muhasebe/fatura-kaynagis/create/giden-iade-faturasi","filament.admin.muhasebe.resources.fatura-kaynagis.createGidenIade","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateGidenIadeFaturasi","200","2381,18","2381,18","2381,18","287720","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/giden-iade-faturasi",
"38","restoran","admin/restoran/tanimlar/salonlar/create","filament.admin.restoran.resources.tanimlar.salonlar.create","App\Filament\Clusters\Restoran\Resources\RestoranSalonKaynagi\Pages\CreateRestoranSalon","200","2376,14","2376,14","2376,14","144768","http://localhost/yalova-kamera/admin/restoran/tanimlar/salonlar/create",
"39","restoran","admin/restoran/raporlar/genel","filament.admin.restoran.pages.raporlar.genel","App\Filament\Clusters\Restoran\Pages\RestoranRaporlariSayfasi","200","2374,76","2374,76","2374,76","129546","http://localhost/yalova-kamera/admin/restoran/raporlar/genel",
"40","muhasebe","admin/muhasebe/satis/barkodlu-satis-muhasebe-mutabakat","filament.admin.muhasebe.pages.satis.barkodlu-satis-muhasebe-mutabakat","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisMuhasebeMutabakatSayfasi","200","2364,7","2364,7","2364,7","157266","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-muhasebe-mutabakat",
"41","restoran","admin/restoran/masa-ekrani","filament.admin.restoran.pages.masa-ekrani","App\Filament\Clusters\Restoran\Pages\RestoranMasaEkraniSayfasi","200","2337,03","2337,03","2337,03","120918","http://localhost/yalova-kamera/admin/restoran/masa-ekrani",
"42","muhasebe","admin/muhasebe/tanimlar/tasarimlar","filament.admin.muhasebe.resources.tanimlar.tasarimlar.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeTasarimTanimKaynagi\Pages\ListMuhasebeTasarimlari","200","2331,66","2331,66","2331,66","165345","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/tasarimlar",
"43","web","admin/web/urunler/urun-listesi/create","filament.admin.web.resources.urunler.urun-listesi.create","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\CreateUrun","200","2327,53","2327,53","2327,53","346985","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/create",
"44","muhasebe","admin/muhasebe/finans/poslar/create","filament.admin.muhasebe.resources.finans.poslar.create","App\Filament\Clusters\Muhasebe\Resources\PosHesabiKaynagi\Pages\CreatePosHesabi","200","2324,36","2324,36","2324,36","222723","http://localhost/yalova-kamera/admin/muhasebe/finans/poslar/create",
"45","sistem-kullanicilar","admin/sistem-kullanicilar","filament.admin.resources.sistem-kullanicilar.index","App\Filament\Resources\UserResource\Pages\ListUsers","200","2314,31","2314,31","2314,31","377259","http://localhost/yalova-kamera/admin/sistem-kullanicilar",
"46","web","admin/web/urunler/urun-kategorileri","filament.admin.web.resources.urunler.urun-kategorileri.index","App\Filament\Clusters\Web\Resources\UrunKategoriKaynagi\Pages\ListUrunKategorileri","200","2298,79","2298,79","2298,79","503434","http://localhost/yalova-kamera/admin/web/urunler/urun-kategorileri",
"47","restoran","admin/restoran/paket-servis","filament.admin.restoran.pages.paket-servis","App\Filament\Clusters\Restoran\Pages\RestoranPaketServisSayfasi","200","2294,49","2294,49","2294,49","122122","http://localhost/yalova-kamera/admin/restoran/paket-servis",
