"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","e-ticaret","admin/e-ticaret/bildirim-yonetimi/loglar","filament.admin.e-ticaret.pages.bildirim-yonetimi.loglar","App\Filament\Clusters\ETicaret\Pages\BildirimLoglariSayfasi","200","3346,68","1683,03","6657,27","6657,27|1683,03|1699,74","155613","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/loglar",
"2","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/create","filament.admin.teklif-yonetimi.resources.sablonlar.create","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\CreateTeklifSablonu","200","2427,89","1689,54","3891,52","3891,52|1689,54|1702,63","181350","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/create",
"3","firma-kullanici-gruplari","admin/firma-kullanici-gruplari","filament.admin.resources.firma-kullanici-gruplari.index","App\Filament\Resources\FirmaKullaniciGrubuKaynagi\Pages\ListFirmaKullaniciGruplari","200","2364,51","1687,92","3693,14","3693,14|1712,45|1687,92","163302","http://localhost/yalova-kamera/admin/firma-kullanici-gruplari",
"4","muhasebe","admin/muhasebe/satis/barkodlu-satis","filament.admin.muhasebe.pages.satis.barkodlu-satis","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisSayfasi","200","2233,28","1707,21","3283,82","3283,82|1708,8|1707,21","220572","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis",
"5","teknik-servis","admin/teknik-servis/sablonlar/kabul-formu","filament.admin.teknik-servis.pages.sablonlar.kabul-formu","App\Filament\Clusters\TeknikServis\Pages\ServisKabulFormuSablonuSayfasi","200","2221,35","1818,31","2801,21","2801,21|2044,54|1818,31","255200","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/kabul-formu",
"6","e-ticaret","admin/e-ticaret/bildirim-yonetimi/sablonlar","filament.admin.e-ticaret.pages.bildirim-yonetimi.sablonlar","App\Filament\Clusters\ETicaret\Pages\BildirimSablonlariSayfasi","200","2124,77","1823,16","2650,47","2650,47|1900,7|1823,16","138569","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/sablonlar",
"7","muhasebe","admin/muhasebe/satis/barkod-etiket-yazdirma","filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma","App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi","200","2089,32","1709,58","2820,2","2820,2|1709,58|1738,18","229291","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-etiket-yazdirma",
"8","muhasebe","admin/muhasebe/finans/vade-takibi","filament.admin.muhasebe.pages.finans.vade-takibi","App\Filament\Clusters\Muhasebe\Pages\VadeTakipSayfasi","200","2085,75","1792,77","2636,47","2636,47|1827,99|1792,77","261976","http://localhost/yalova-kamera/admin/muhasebe/finans/vade-takibi",
"9","web","admin/web/projeler/liste","filament.admin.web.pages.projeler.liste","App\Filament\Clusters\Web\Pages\WebProje","200","2048,54","1861,32","2232,61","1861,32|2051,68|2232,61","307094","http://localhost/yalova-kamera/admin/web/projeler/liste",
"10","restoran","admin/restoran","filament.admin.restoran","App\Filament\Clusters\Restoran","200","2034,22","1665,68","2758,19","2758,19|1665,68|1678,79","118426","http://localhost/yalova-kamera/admin/restoran",
