"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","muhasebe","admin/muhasebe/satis/barkodlu-satis","filament.admin.muhasebe.pages.satis.barkodlu-satis","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisSayfasi","200","3423,12","3423,12","3423,12","3423.12","220573","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis",
"2","muhasebe","admin/muhasebe/satis/barkod-etiket-yazdirma","filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma","App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi","200","3311,27","3311,27","3311,27","3311.27","187397","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-etiket-yazdirma",
"3","muhasebe","admin/muhasebe/satis/hizli-satis","filament.admin.muhasebe.pages.satis.hizli-satis","App\Filament\Clusters\Muhasebe\Pages\HizliSatisSayfasi","200","2601,83","2601,83","2601,83","2601.83","130035","http://localhost/yalova-kamera/admin/muhasebe/satis/hizli-satis",
"4","restoran","admin/restoran/raporlar/gun-sonu","filament.admin.restoran.pages.raporlar.gun-sonu","App\Filament\Clusters\Restoran\Pages\RestoranGunSonuMutabakatSayfasi","200","2588,88","2588,88","2588,88","2588.88","128371","http://localhost/yalova-kamera/admin/restoran/raporlar/gun-sonu",
"5","restoran","admin/restoran/paket-servis","filament.admin.restoran.pages.paket-servis","App\Filament\Clusters\Restoran\Pages\RestoranPaketServisSayfasi","200","2540,94","2540,94","2540,94","2540.94","124946","http://localhost/yalova-kamera/admin/restoran/paket-servis",
"6","teknik-servis","admin/teknik-servis/sablonlar/kabul-formu","filament.admin.teknik-servis.pages.sablonlar.kabul-formu","App\Filament\Clusters\TeknikServis\Pages\ServisKabulFormuSablonuSayfasi","200","2514,38","2514,38","2514,38","2514.38","176758","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/kabul-formu",
"7","muhasebe","admin/muhasebe/satis/barkodlu-satis-muhasebe-mutabakat","filament.admin.muhasebe.pages.satis.barkodlu-satis-muhasebe-mutabakat","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisMuhasebeMutabakatSayfasi","200","2157,68","2157,68","2157,68","2157.68","157267","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-muhasebe-mutabakat",
"8","muhasebe","admin/muhasebe/satis/barkod-esleme-listesi","filament.admin.muhasebe.pages.satis.barkod-esleme-listesi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisBarkodListesiSayfasi","200","2142,67","2142,67","2142,67","2142.67","151675","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-esleme-listesi",
"9","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/bakim","filament.admin.teknik-servis.resources.servis-kayitlari.create_bakim","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\BakimKaydiOlusturSayfasi","200","2136,85","2136,85","2136,85","2136.85","232655","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/bakim",
"10","muhasebe","admin/muhasebe/stok/stok-listesi/create","filament.admin.muhasebe.resources.stok.stok-listesi.create","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\CreateStokKarti","200","2125,77","2125,77","2125,77","2125.77","242080","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/create",
"11","personel-takip","admin/personel-takip/personeller/create","filament.admin.personel-takip.resources.personeller.create","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\CreatePersonel","200","2119,75","2119,75","2119,75","2119.75","215868","http://localhost/yalova-kamera/admin/personel-takip/personeller/create",
"12","restoran","admin/restoran/qr-menu/receteler/create","filament.admin.restoran.resources.qr-menu.receteler.create","App\Filament\Clusters\Restoran\Resources\RestoranReceteKaynagi\Pages\CreateRestoranRecete","200","2111,97","2111,97","2111,97","2111.97","178079","http://localhost/yalova-kamera/admin/restoran/qr-menu/receteler/create",
"13","profil","admin/profil","filament.admin.auth.profile","App\Filament\Pages\Auth\ProfilDuzenle","200","2103,71","2103,71","2103,71","2103.71","174926","http://localhost/yalova-kamera/admin/profil",
"14","personel-takip","admin/personel-takip/tanimlar/departmanlar","filament.admin.personel-takip.resources.tanimlar.departmanlar.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelDepartmanKaynagi\Pages\ListPersonelDepartmanlari","200","2093,9","2093,9","2093,9","2093.9","158344","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/departmanlar",
"15","e-ticaret","admin/e-ticaret/kargo-yonetimi","filament.admin.e-ticaret.pages.kargo-yonetimi","App\Filament\Clusters\ETicaret\Pages\KargoYonetimiSayfasi","200","2090,21","2090,21","2090,21","2090.21","147473","http://localhost/yalova-kamera/admin/e-ticaret/kargo-yonetimi",
"16","restoran","admin/restoran/masalar","filament.admin.restoran.resources.masalar.index","App\Filament\Clusters\Restoran\Resources\RestoranMasaKaynagi\Pages\ListRestoranMasalari","200","2089,5","2089,5","2089,5","2089.5","181750","http://localhost/yalova-kamera/admin/restoran/masalar",
"17","muhasebe","admin/muhasebe/tanimlar/birimler/create","filament.admin.muhasebe.resources.tanimlar.birimler.create","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\BirimTanimKaynagi\Pages\CreateBirim","200","2085,55","2085,55","2085,55","2085.55","144861","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/birimler/create",
"18","muhasebe","admin/muhasebe/satis/barkodlu-satis-iade-gecmisi","filament.admin.muhasebe.pages.satis.barkodlu-satis-iade-gecmisi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisIadeGecmisiSayfasi","200","2082,9","2082,9","2082,9","2082.9","174908","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-iade-gecmisi",
"19","restoran","admin/restoran/qr-menu/urunler","filament.admin.restoran.resources.qr-menu.urunler.index","App\Filament\Clusters\Restoran\Resources\RestoranMenuUrunKaynagi\Pages\ListRestoranMenuUrunleri","200","2081,22","2081,22","2081,22","2081.22","183088","http://localhost/yalova-kamera/admin/restoran/qr-menu/urunler",
"20","web","admin/web/projeler/kategoriler","filament.admin.web.pages.projeler.kategoriler","App\Filament\Clusters\Web\Pages\WebProjeKategori","200","2074,85","2074,85","2074,85","2074.85","168330","http://localhost/yalova-kamera/admin/web/projeler/kategoriler",
"21","muhasebe","admin/muhasebe/faturalar/gelen-faturalar","filament.admin.muhasebe.pages.faturalar.gelen-faturalar","App\Filament\Clusters\Muhasebe\Pages\GelenFatura","200","2067,88","2067,88","2067,88","2067.88","159493","http://localhost/yalova-kamera/admin/muhasebe/faturalar/gelen-faturalar",
"22","personel-takip","admin/personel-takip/vardiyalar","filament.admin.personel-takip.resources.vardiyalar.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelVardiyaKaynagi\Pages\ListPersonelVardiyalari","200","2067,04","2067,04","2067,04","2067.04","162355","http://localhost/yalova-kamera/admin/personel-takip/vardiyalar",
"23","web","admin/web/web-moduller/ucuncu-grup/faqs","filament.admin.web.pages.web-moduller.ucuncu-grup.faqs","App\Filament\Clusters\Web\Pages\ModulFaqs","200","2066,71","2066,71","2066,71","2066.71","178726","http://localhost/yalova-kamera/admin/web/web-moduller/ucuncu-grup/faqs",
"24","restoran","admin/restoran","filament.admin.restoran","App\Filament\Clusters\Restoran","200","2058,29","2058,29","2058,29","2058.29","96464","http://localhost/yalova-kamera/admin/restoran",
"25","web","admin/web/web-ayarlar/mail-gonderim","filament.admin.web.pages.web-ayarlar.mail-gonderim","App\Filament\Clusters\Web\Pages\WebMailGonderim","200","2056,54","2056,54","2056,54","2056.54","154388","http://localhost/yalova-kamera/admin/web/web-ayarlar/mail-gonderim",
