"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz","filament.admin.teknik-servis.resources.servis-kayitlari.create_arizali","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\ArizaliCihazKaydiOlusturSayfasi","200","589,97","573,9","606,04","606,04|573,9","252540","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz",
"2","web","admin/web/web-ayarlar/aboneler","filament.admin.web.pages.web-ayarlar.aboneler","App\Filament\Clusters\Web\Pages\WebAboneler","200","547,78","540,78","554,79","554,79|540,78","179764","http://localhost/yalova-kamera/admin/web/web-ayarlar/aboneler",
"3","restoran","admin/restoran/masalar","filament.admin.restoran.resources.masalar.index","App\Filament\Clusters\Restoran\Resources\RestoranMasaKaynagi\Pages\ListRestoranMasalari","200","543,41","537,33","549,48","549,48|537,33","181750","http://localhost/yalova-kamera/admin/restoran/masalar",
"4","restoran","admin/restoran/qr-menu/urunler","filament.admin.restoran.resources.qr-menu.urunler.index","App\Filament\Clusters\Restoran\Resources\RestoranMenuUrunKaynagi\Pages\ListRestoranMenuUrunleri","200","534,28","503,97","564,58","564,58|503,97","183088","http://localhost/yalova-kamera/admin/restoran/qr-menu/urunler",
"5","restoran","admin/restoran/tanimlar/salonlar","filament.admin.restoran.resources.tanimlar.salonlar.index","App\Filament\Clusters\Restoran\Resources\RestoranSalonKaynagi\Pages\ListRestoranSalonlari","200","531,96","510,19","553,74","553,74|510,19","165857","http://localhost/yalova-kamera/admin/restoran/tanimlar/salonlar",
"6","siparisler","admin/siparisler","filament.admin.resources.siparisler.index","App\Filament\Resources\SiparisKaynagi\Pages\ListSiparisler","200","524,22","517,15","531,29","531,29|517,15","186779","http://localhost/yalova-kamera/admin/siparisler",
"7","personel-takip","admin/personel-takip/izinler","filament.admin.personel-takip.resources.izinler.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelIzinKaynagi\Pages\ListPersonelIzinleri","200","522,35","508,01","536,68","508,01|536,68","159088","http://localhost/yalova-kamera/admin/personel-takip/izinler",
"8","muhasebe","admin/muhasebe/tanimlar/birimler","filament.admin.muhasebe.resources.tanimlar.birimler.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\BirimTanimKaynagi\Pages\ListBirimler","200","519,36","500,25","538,46","500,25|538,46","160723","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/birimler",
"9","restoran","admin/restoran/adisyonlar/create","filament.admin.restoran.resources.adisyonlar.create","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKaynagi\Pages\CreateRestoranAdisyon","200","519,26","499,09","539,42","539,42|499,09","196901","http://localhost/yalova-kamera/admin/restoran/adisyonlar/create",
"10","personel-takip","admin/personel-takip/personeller","filament.admin.personel-takip.resources.personeller.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\ListPersoneller","200","514,04","503,96","524,11","524,11|503,96","159540","http://localhost/yalova-kamera/admin/personel-takip/personeller",
